There are 4 GPU(s) available.
We will use the GPU: NVIDIA RTX A6000
Loading BERT tokenizer...
accuracy
Amazon-Pet-BERT
{'loss': 0.3484, 'learning_rate': 1.9853200234879626e-05, 'epoch': 0.01}
{'loss': 0.2943, 'learning_rate': 1.970640046975925e-05, 'epoch': 0.03}
{'loss': 0.286, 'learning_rate': 1.9559600704638874e-05, 'epoch': 0.04}
{'loss': 0.2814, 'learning_rate': 1.9412800939518498e-05, 'epoch': 0.06}
{'loss': 0.2794, 'learning_rate': 1.9266001174398125e-05, 'epoch': 0.07}
{'loss': 0.2749, 'learning_rate': 1.911920140927775e-05, 'epoch': 0.09}
{'loss': 0.2753, 'learning_rate': 1.897240164415737e-05, 'epoch': 0.1}
{'loss': 0.2762, 'learning_rate': 1.8825601879036994e-05, 'epoch': 0.12}
{'loss': 0.2784, 'learning_rate': 1.8678802113916618e-05, 'epoch': 0.13}
{'loss': 0.2753, 'learning_rate': 1.8532002348796242e-05, 'epoch': 0.15}
{'loss': 0.2729, 'learning_rate': 1.838520258367587e-05, 'epoch': 0.16}
{'loss': 0.2744, 'learning_rate': 1.8238402818555493e-05, 'epoch': 0.18}
{'loss': 0.2774, 'learning_rate': 1.8091603053435117e-05, 'epoch': 0.19}
{'loss': 0.2723, 'learning_rate': 1.794480328831474e-05, 'epoch': 0.21}
{'loss': 0.2692, 'learning_rate': 1.7798003523194365e-05, 'epoch': 0.22}
{'loss': 0.2654, 'learning_rate': 1.765120375807399e-05, 'epoch': 0.23}
{'loss': 0.274, 'learning_rate': 1.7504403992953613e-05, 'epoch': 0.25}
{'loss': 0.2674, 'learning_rate': 1.7357604227833237e-05, 'epoch': 0.26}
{'loss': 0.2656, 'learning_rate': 1.721080446271286e-05, 'epoch': 0.28}
{'loss': 0.2678, 'learning_rate': 1.7064004697592485e-05, 'epoch': 0.29}
{'loss': 0.269, 'learning_rate': 1.691720493247211e-05, 'epoch': 0.31}
{'loss': 0.263, 'learning_rate': 1.6770405167351733e-05, 'epoch': 0.32}
{'loss': 0.2662, 'learning_rate': 1.6623605402231357e-05, 'epoch': 0.34}
{'loss': 0.2677, 'learning_rate': 1.647680563711098e-05, 'epoch': 0.35}
{'loss': 0.2646, 'learning_rate': 1.6330005871990605e-05, 'epoch': 0.37}
{'loss': 0.2635, 'learning_rate': 1.618320610687023e-05, 'epoch': 0.38}
{'loss': 0.267, 'learning_rate': 1.6036406341749857e-05, 'epoch': 0.4}
{'loss': 0.2647, 'learning_rate': 1.588960657662948e-05, 'epoch': 0.41}
{'loss': 0.2591, 'learning_rate': 1.5742806811509105e-05, 'epoch': 0.43}
{'loss': 0.264, 'learning_rate': 1.559600704638873e-05, 'epoch': 0.44}
{'loss': 0.2645, 'learning_rate': 1.544920728126835e-05, 'epoch': 0.46}
{'loss': 0.2613, 'learning_rate': 1.5302407516147973e-05, 'epoch': 0.47}
{'loss': 0.2658, 'learning_rate': 1.5155607751027599e-05, 'epoch': 0.48}
{'loss': 0.2593, 'learning_rate': 1.5008807985907223e-05, 'epoch': 0.5}
{'loss': 0.2627, 'learning_rate': 1.4862008220786847e-05, 'epoch': 0.51}
{'loss': 0.2608, 'learning_rate': 1.4715208455666473e-05, 'epoch': 0.53}
